Strain,Subspecies,Host_cn,Host_sn,Location1,Location2,Mean,SE,Sequences
14B1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",5.18E-03,4.47E-03,Y
14B2,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",1.26E-02,5.32E-03,Y
14B3,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",2.00E-02,1.96E-02,Y
14B5,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",7.78E-03,5.51E-03,Y
14B7,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",5.98E-04,5.54E-04,Y
15B2,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",3.07E-02,2.70E-04,Y
15B3,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",1.43E-02,6.99E-03,Y
15M1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",1.33E-02,2.73E-03,Y
16B1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",4.71E-03,8.60E-04,Y
16B2,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",3.10E-03,7.36E-04,Y
16B3,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",1.39E-04,6.40E-05,Y
16B4,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",2.44E-02,1.69E-02,Y
16B5,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 1",9.36E-04,1.77E-04,Y
16M2,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",6.52E-02,5.77E-02,Y
16M3,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",4.15E-01,2.04E-01,Y
16M5,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",1.89E-02,1.18E-02,Y
16M6,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",5.83E-03,3.23E-03,Y
16M7,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",7.40E-02,4.04E-02,Y
16M8,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Site 2",5.51E-03,1.57E-03,Y
3SVG,subsp.fastidiosa,Grapes,Vitis sp.,GA,"USA, Georgia, North Georgia",0.00E+00,0.00E+00,Y
4rd+1,subsp.multiplex,sycamore,Platanus occidentalis,GA,"USA, Georgia, Athens-Clarke",0.00E+00,0.00E+00,Y
Alma311,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Alma, Bacon",0.00E+00,0.00E+00,Y
AlmaReb2,subsp.fastidiosa,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Bacon, Blake Williams Farm",7.23E-03,4.16E-04,Y
Alpha3,subsp.fastidiosa,Grapes,Vitis sp.,GA,"USA, Georgia, North Georgia",0.00E+00,0.00E+00,Y
ALS10T14,subsp.fastidiosa,Almonds,Prunus dulcis,CA,"USA, California, Colusa",5.19E-03,4.91E-03,Y
ALS10T3,subsp.multiplex,Almonds,Prunus dulcis,CA,"USA, California, Colusa",0.00E+00,0.00E+00,Y
ALS12T1,subsp.multiplex,Almonds,Prunus dulcis,CA,"USA, California, Colusa",1.32E-02,6.18E-03,Y
ALS14T3,subsp.multiplex,Almonds,Prunus dulcis,CA,"USA, California, Claribel",0.00E+00,0.00E+00,Y
ALS14T5,subsp.fastidiosa,Almonds,Prunus dulcis,CA,"USA, California, Claribel",4.84E-03,3.64E-03,Y
ALS17T10,subsp.fastidiosa,Almonds,Prunus dulcis,CA,"USA, California, San Joaquin",4.72E-03,2.78E-03,Y
ALS17T9,subsp.fastidiosa,Almonds,Prunus dulcis,CA,"USA, California, San Joaquin",3.15E-02,3.13E-02,Y
ALS6,subsp.multiplex,Almonds,Prunus dulcis,CA,"USA, California, San Joaquin",1.48E-03,3.19E-04,Y
Ann-1,subsp.sandyi,Oleander,Nerium oleander,CA,"USA, California, Palm Springs",0.00E+00,0.00E+00,Y
B3_SN17-2_IS,subsp.fastidiosa,Almonds,Prunus dulcis,Israel,Israel,3.58E-03,1.03E-03,Y
BBI10,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Alma, Bacon",0.00E+00,0.00E+00,Y
BBI12,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Alma, Bacon",0.00E+00,0.00E+00,Y
BBI80,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Brantley, Hoboken",0.00E+00,0.00E+00,Y
CFBP7969,subsp.fastidiosa,Grapes,Vitis rotundifolia,"NC, USA","USA, North Carolina",0.00E+00,0.00E+00,Y
CFBP7970,subsp.fastidiosa,Grapes,Vitis vinifera,"FL, USA","USA, Florida",0.00E+00,0.00E+00,Y
CFBP8068,subsp.multiplex,Elm,Ulmus sp,"WASH,USA","USA, Washington",0.00E+00,0.00E+00,Y
CFBP8072,subsp.pauca,Coffee,Coffea arabica,Ecuador,Ecuador,0.00E+00,0.00E+00,Y
CFBP8073,subsp.fastidiosa,Coffee,Coffea canephora,Mexico,Mexico,0.00E+00,0.00E+00,Y
CFBP8074,subsp.pauca,Coffee,Coffea arabica,Ecuador,Ecuador,0.00E+00,0.00E+00,Y
CFBP8075,subsp.multiplex,Plum,Prunus sp,"CA,USA",USA,0.00E+00,0.00E+00,Y
