"Strain","Mean","Subspecies","Host.CN.","Host.SN.","location","Geographical.Origin","Assemblies.availability","Latitude","Longitude","Host_genus","competent","rr"
"CFBP8356",0,"sandyi","Coffee","Coffea arabica","Costa Rica","Costa Rica","Y",9.748917,-83.753428,"Coffea","Non-competent",0
"CFBP8419",0,"sandyi","Coffee","Coffea arabica","Plant intercepted in France from Costa Rica","Costa Rica","N",9.748917,-83.753428,"Coffea","Non-competent",0
"CFBP8478",0,"sandyi","Coffee","Coffea arabica","Plant intercepted in France from Costa Rica","Costa Rica","Y",9.748917,-83.753428,"Coffea","Non-competent",0
"CO33",0,"sandyi","Coffee","Coffea arabica","Plant intercepted in Italy from Costa Rica","Costa Rica","Y",9.748917,-83.753428,"Coffea","Non-competent",0
"PD7202",0,"pauca","Olive","Olea europaea","Plant intercepted in Italy from Costa Rica","Costa Rica","Y",9.748917,-83.753428,"Olea","Non-competent",0
"CFBP8072",0,"pauca","Coffee","Coffea arabica","Ecuador","Ecuador","Y",-1.831239,-78.183406,"Coffea","Non-competent",0
"CFBP8074",0,"pauca","Coffee","Coffea arabica","Ecuador","Ecuador","Y",-1.831239,-78.183406,"Coffea","Non-competent",0
"CFBP8417",0,"multiplex","Spanish_broom","Spartium junceum","France","France, Corsica, Corse-du-Sud, Alata","Y",41.975932,8.742111,"Others","Non-competent",0
"CFBP8418",0,"multiplex","Spanish_broom","Spartium junceum","France","France, Corsica, Corse-du-Sud, Alata","Y",41.975932,8.742111,"Others","Non-competent",0
"CFBP8416",0,"multiplex","Myrtle-leaf_milkwort","Polygala myrtifolia","France","France, Corsica, Corse-du-Sud, Propriano","Y",41.6738915,8.9017592,"Others","Non-competent",0
"B3_SN17-2_IS",0.00357776497695853,"fastidiosa","Almonds","Prunus dulcis","Israel","Israel","Y",33.1944444,35.6296388888888,"Prunus","Competent",0.00357138000060802
"De_Donno",0,"pauca","Olive","Olea europaea","Italy","Italy, Apulia, Lecce, Galipolli - Li Sauli","Y",40.024902,18.050242,"Olea","Non-competent",0
"Salento-1",0,"pauca","Olive","Olea europaea","Italy","Italy, Apulia, Lecce, Taviano","Y",39.98224,18.08151,"Olea","Non-competent",0
"CFBP8073",0,"fastidiosa","Coffee","Coffea canephora","Mexico","Mexico","Y",23.634501,-102.552784,"Coffea","Non-competent",0
"IVIA5901",0,"multiplex","Almonds","Prunus dulcis","Spain","Spain, Alicante, Benimantell","Y",38.67457,-0.20711,"Prunus","Non-competent",0
"IAS-AXF212H7",0,"multiplex","Almonds","Prunus dulcis","Spain","Spain, Alicante, Benimantell","Y",38.67457,-0.20711,"Prunus","Non-competent",0
"IAS-AXF64H11",0,"multiplex","Almonds","Prunus dulcis","Spain","Spain, Alicante, Benimantell","Y",38.67457,-0.20711,"Prunus","Non-competent",0
"ESVL",0,"multiplex","Almonds","Prunus dulcis","Spain","Spain, Alicante, Bolulla","Y",38.67622,-0.11179,"Prunus","Non-competent",0
"IVIA6902",0,"multiplex","Almonds","Prunus dulcis","Spain","Spain, Alicante, Castell de Castells","Y",38.7255294,-0.194579,"Prunus","Non-competent",0
"IAS-AXF235T1",0,"multiplex","Almonds","Prunus dulcis","Spain","Spain, Alicante, El Castell de Guadalest","N",38.6769639,-0.1983236,"Prunus","Non-competent",0
"XYL1961",0,"pauca","Olive","Olea europaea","Spain","Spain, Ibiza","Y",39.0200099,1.4821482,"Olea","Non-competent",0
"XYL1981_17",0,"multiplex","Fig","Ficus carica","Spain","Spain, Mallorca","Y",39.6952629,3.0175712,"Others","Non-competent",0
