Strain,Subspecies,Host_cn,Host_sn,Growth_form,Crop,Location0,Location1,Location2,Location3,Latitude,Longitude,Rate,logRate,RR,logRR,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
CFBP8356,subsp.sandyi,Coffee,Coffea arabica,tree,1,MesoAmerica,Costa Rica,Costa Rica,Costa Rica,9.748917,-83.753428,0,0,0,0,18.29935455,9.634041786,81.27249146,59.93725586,24.30050087,12.44649982,11.85400105,18.33774948,18.57229233,18.96949959,17.51970863,3358,393,123,33.23675156,1126,433,609,821
CFBP8356,subsp.sandyi,Coffee,Coffea arabica,tree,1,MesoAmerica,Costa Rica,Costa Rica,Costa Rica,9.748917,-83.753428,0,0,0,0,18.29935455,9.634041786,81.27249146,59.93725586,24.30050087,12.44649982,11.85400105,18.33774948,18.57229233,18.96949959,17.51970863,3358,393,123,33.23675156,1126,433,609,821
CFBP8478,subsp.sandyi,Coffee,Coffea arabica,tree,1,MesoAmerica,Costa Rica,Costa Rica,Costa Rica,9.748917,-83.753428,0,0,0,0,18.29935455,9.634041786,81.27249146,59.93725586,24.30050087,12.44649982,11.85400105,18.33774948,18.57229233,18.96949959,17.51970863,3358,393,123,33.23675156,1126,433,609,821
CO33,subsp.sanyi/morus,Coffee,Coffea arabica,tree,1,MesoAmerica,Costa Rica,Costa Rica,Costa Rica,9.748917,-83.753428,0,0,0,0,18.29935455,9.634041786,81.27249146,59.93725586,24.30050087,12.44649982,11.85400105,18.33774948,18.57229233,18.96949959,17.51970863,3358,393,123,33.23675156,1126,433,609,821
CFBP8072,subsp.pauca,Coffee,Coffea arabica,tree,1,SouthAmerica,Ecuador,Ecuador,Ecuador,-1.831239,-78.183406,0,0,0,0,14.69230175,9.319645882,83.93053436,38.31343079,20.51524925,9.411250114,11.10399914,14.43025017,14.79691696,15.01087475,14.13329124,1640,222,81,32.31697464,587,259,311,580
CFBP8072,subsp.pauca,Coffee,Coffea arabica,tree,1,SouthAmerica,Ecuador,Ecuador,Ecuador,-1.831239,-78.183406,0,0,0,0,14.69230175,9.319645882,83.93053436,38.31343079,20.51524925,9.411250114,11.10399914,14.43025017,14.79691696,15.01087475,14.13329124,1640,222,81,32.31697464,587,259,311,580
CFBP8074,subsp.pauca,Coffee,Coffea arabica,tree,1,SouthAmerica,Ecuador,Ecuador,Ecuador,-1.831239,-78.183406,0,0,0,0,14.69230175,9.319645882,83.93053436,38.31343079,20.51524925,9.411250114,11.10399914,14.43025017,14.79691696,15.01087475,14.13329124,1640,222,81,32.31697464,587,259,311,580
CFBP8417,subsp.multiplex,Spanish broom,Spartium junceum,tree,0,Europe,France,"France, Corsica, Corse-du-Sud, Alata",France,41.975932,8.742111,0,0,0,0,14.70977592,9.089332581,38.51983643,537.406189,27.77859879,4.18210125,23.59649658,12.60201073,21.42658806,21.61121941,8.733009338,665,99,10,49.14759445,268,55,84,202
CFBP8418,subsp.multiplex,Spanish broom,Spartium junceum,tree,0,Europe,France,"France, Corsica, Corse-du-Sud, Alata",France,41.975932,8.742111,0,0,0,0,14.70977592,9.089332581,38.51983643,537.406189,27.77859879,4.18210125,23.59649658,12.60201073,21.42658806,21.61121941,8.733009338,665,99,10,49.14759445,268,55,84,202
CFBP8416,subsp.multiplex,Myrtle-leaf milkwort,Polygala myrtifolia,tree,0,Europe,France,"France, Corsica, Corse-du-Sud, Propriano",France,41.6739,8.9018,0,0,0,0,14.31095695,8.065382957,35.22957611,550.1049194,27.0870266,4.193243027,22.89378357,12.17815304,21.20193672,21.35414314,8.160810471,658,96,11,48.57682037,265,55,81,209
B3_SN17-2_IS,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,Europe,Israel,Israel,Israel,33.1944444,35.62963889,0.002548387,-2.593734603,254838.7097,5.406265397,18.44775963,10.51597977,40.0769043,618.824585,31.99650002,5.756999969,26.23950005,10.72420883,25.48208237,25.62587547,10.72420883,716,181,0,107.1378632,458,0,2,458
