ID	Phenotype
14B1	2
14B2	3
14B3	3
14B5	2
14B7	2
15B2	3
15B3	3
15M1	2
16B1	2
16B2	2
16B3	2
16B4	3
16B5	2
16M2	3
16M3	3
16M5	3
16M6	2
16M7	3
16M8	2
3SVG	0
4rd+1	0
Alma311	0
AlmaEM3	1
AlmaReb2	2
Alpha3	0
ALS10T14	2
ALS10T3	0
ALS12T1	3
ALS14T3	0
ALS14T5	2
ALS17T10	2
ALS17T9	3
ALS6	2
Ann-1	0
B3_SN17-2_IS	2
BB08-1	1
BBI10	0
BBI64	0
BBI80	0
BH-elm	2
CCPM1	3
CFBP7969	0
CFBP7970	0
CFBP8068	0
CFBP8072	0
CFBP8073	0
CFBP8074	0
CFBP8075	0
CFBP8082	0
CFBP8083	0
CFBP8084	0
CFBP8351	1
CFBP8356	0
CFBP8416	0
CFBP8417	0
CFBP8418	0
CFBP8478	0
CO33	0
Conn-creek	1
De_Donno	0
Dixon	0
EB92-1	1
ESVL	0
Fetzer	2
Fillmore	0
GAplum	0
GILGRA274ext	0
IAS-AXF212H7	0
IAS-AXF64H11	0
IVIA5235	0
IVIA5770	1
IVIA5901	0
IVIA6902	0
Je1	3
Je103	2
Je118	2
Je13	2
Je17	3
Je35	3
Je4	2
Je43	3
Je51	3
Je60	2
Je63	3
Je73	2
Je78	3
Je92	3
L95-1	3
LA-Y3C	2
LLAFAL718A	0
LM10	0
M12	0
M23	2
MEDPRI047	0
Oak92-10	0
OC8	0
PD7202	0
R2XF4358_18	1
RBCF119	0
Red_Oak_2	0
RH1	0
Riv11	0
Riv13	1
Riv16	0
Riv19	1
Riv25	0
Riv5	0
Salento-1	0
Santa29b	0
SLO	3
SRBB	0
Temecula1	2
Temecula1Star	2
TemeculaL	2
UVA519_1B	0
VALVAL072Ext	0
WM1-1	3
XF3348	0
XF3967_18	1
XYL1752_17	0
XYL1961	0
XYL1966_18	0
XYL1968_18	0
XYL1981_17	0
XYL1981_18	0
XYL2014_18	2
XYL2017_18	2
XYL2055_17	1
XYL2093_18	1
XYL2153_18	1
XYL461	1
XYL466_19	0
XYL468	0
